id;fecha;valor;variacion;fuente;created_at
443;20240226;49461.59;-2.65;archivo_dat;2026-01-05 08:23:29
444;20240227;49769.94;0.62;archivo_dat;2026-01-05 08:23:29
445;20240228;49247.9;-1.05;archivo_dat;2026-01-05 08:23:29
446;20240229;49444.03;0.4;archivo_dat;2026-01-05 08:23:29
447;20240301;49196.7;-0.5;archivo_dat;2026-01-05 08:23:29
448;20240304;48873.58;-0.66;archivo_dat;2026-01-05 08:23:29
449;20240305;47998.11;-1.79;archivo_dat;2026-01-05 08:23:29
450;20240306;50095.08;4.37;archivo_dat;2026-01-05 08:23:29
451;20240307;50100.0;0.01;archivo_dat;2026-01-05 08:23:29
452;20240308;50438.99;0.68;archivo_dat;2026-01-05 08:23:29
453;20240311;51503.7;2.11;archivo_dat;2026-01-05 08:23:29
454;20240312;52193.78;1.34;archivo_dat;2026-01-05 08:23:29
455;20240313;53488.57;2.48;archivo_dat;2026-01-05 08:23:29
456;20240314;53589.25;0.19;archivo_dat;2026-01-05 08:23:29
457;20240315;52081.14;-2.81;archivo_dat;2026-01-05 08:23:29
458;20240318;52064.66;-0.03;archivo_dat;2026-01-05 08:23:29
459;20240320;51513.75;-1.06;archivo_dat;2026-01-05 08:23:29
460;20240321;51002.88;-0.99;archivo_dat;2026-01-05 08:23:29
461;20240322;50902.39;-0.2;archivo_dat;2026-01-05 08:23:29
462;20240325;51433.26;1.04;archivo_dat;2026-01-05 08:23:29
463;20240326;54853.01;6.65;archivo_dat;2026-01-05 08:23:29
464;20240327;55619.96;1.4;archivo_dat;2026-01-05 08:23:29
465;20240401;57672.99;3.69;archivo_dat;2026-01-05 08:23:29
466;20240402;58116.66;0.77;archivo_dat;2026-01-05 08:23:29
467;20240403;57595.93;-0.9;archivo_dat;2026-01-05 08:23:29
468;20240404;57754.91;0.28;archivo_dat;2026-01-05 08:23:29
469;20240405;58983.84;2.13;archivo_dat;2026-01-05 08:23:29
470;20240408;58662.53;-0.54;archivo_dat;2026-01-05 08:23:29
471;20240409;58959.94;0.51;archivo_dat;2026-01-05 08:23:29
472;20240410;60564.84;2.72;archivo_dat;2026-01-05 08:23:29
473;20240411;60547.92;-0.03;archivo_dat;2026-01-05 08:23:29
474;20240412;61239.2;1.14;archivo_dat;2026-01-05 08:23:29
475;20240415;64994.51;6.13;archivo_dat;2026-01-05 08:23:29
476;20240416;65445.7;0.69;archivo_dat;2026-01-05 08:23:29
477;20240417;66016.25;0.87;archivo_dat;2026-01-05 08:23:29
478;20240418;64513.2;-2.28;archivo_dat;2026-01-05 08:23:29
479;20240422;63631.22;-1.37;archivo_dat;2026-01-05 08:23:29
480;20240423;62278.9;-2.13;archivo_dat;2026-01-05 08:23:29
